id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,price_total_zl_cleaned,price_per_m2_zl_cleaned
3742026,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-juliusza-kossaka-2-pokojowe-q0r0h9,5 dni temu,8.0,Łódź Dąbrowa,ul. Juliusza Kossaka,Mieszkanie,2,36,True,275 000,7 639zł / m²,275000.0,7639.0
3742008,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-niciarniana-2-pokojowe-g8u1k8,5 dni temu,8.0,Łódź Widzew,ul. Niciarniana,Mieszkanie,2,46,True,325 000,7 065zł / m²,325000.0,7065.0
3667068,https://adresowo.pl/o/mieszkanie-lodz-romanow-ul-romanowska-3-pokojowe-d8k2w6,ponad miesiąc temu,9.0,Łódź Romanów,ul. Romanowska,Mieszkanie,3,70,True,625 000,8 875zł / m²,625000.0,8875.0
3663456,https://adresowo.pl/o/mieszkanie-lodz-stoki-ul-zbocze-3-pokojowe-z2e2v4,ponad miesiąc temu,10.0,Łódź Stoki,ul. Zbocze,Mieszkanie,3,61,True,340 000,5 569zł / m²,340000.0,5569.0
3741800,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-legionow-3-pokojowe-u1s7z3,5 dni temu,8.0,Łódź Polesie,ul. Legionów,Mieszkanie,3,38,True,409 000,10 763zł / m²,409000.0,10763.0
3741746,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-pasieczna-2-pokojowe-d4u6c6,5 dni temu,8.0,Łódź Radogoszcz,ul. Pasieczna,Mieszkanie,2,42,True,300 000,7 072zł / m²,300000.0,7072.0
3663384,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lagiewnicka-1-pokoj-x5p6m7,ponad miesiąc temu,12.0,Łódź Bałuty,ul. Łagiewnicka,Mieszkanie,1,18,True,225 000,12 458zł / m²,225000.0,12458.0
3659750,https://adresowo.pl/o/mieszkanie-lodz-ul-pilota-stanislawa-wigury-4-pokojowe-h0s8x9,ponad miesiąc temu,12.0,Łódź,ul. Pilota Stanisława Wigury,Mieszkanie,4,89,True,608 000,6 831zł / m²,608000.0,6831.0
3741590,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-jozefa-babickiego-1-pokoj-y1a7z8,6 dni temu,9.0,Łódź Retkinia,ul. Józefa Babickiego,Mieszkanie,1,31,True,250 000,8 065zł / m²,250000.0,8065.0
3741530,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-al-marsz-jozefa-pilsudskiego-2-pokojowe-b6t5e4,6 dni temu,8.0,Łódź Śródmieście,al. marsz. Józefa Piłsudskiego,Mieszkanie,2,41,True,242 000,5 917zł / m²,242000.0,5917.0
3655882,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-stefana-jaracza-4-pokojowe-j7m1l6,ponad miesiąc temu,10.0,Łódź Śródmieście,ul. Stefana Jaracza,Mieszkanie,4,119,True,649 999,5 462zł / m²,649999.0,5462.0
3655870,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-4-pokojowe-r7j2y6,ponad miesiąc temu,17.0,Łódź Śródmieście,ul. Piotrkowska,Mieszkanie,4,124,True,809 000,6 544zł / m²,809000.0,6544.0
3741378,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-lakowa-2-pokojowe-a5p6q1,6 dni temu,8.0,Łódź Śródmieście,ul. Łąkowa,Mieszkanie,2,52,True,655 000,12 517zł / m²,655000.0,12517.0
