Lokalizacja,Ulica,Liczba Pokoi,Metraż (m²),Cena Całkowita (zł),Cena za m² (zł),Typ Oferty,Data Dodania,Liczba Zdjęć,Link do Oferty,Link do Zdjęcia
Łódź Śródmieście,ul. Poznańska,2,52,520000,10000,Bez pośredników,3 dni temu,11,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-poznanska-2-pokojowe-j3x1f2,https://s2.adresowa.pl/oi/29/33/39d38a_4222_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-poznanska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Retkinia,ul. Maratońska,2,45,349000,7756,Bez pośredników,3 dni temu,12,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-maratonska-2-pokojowe-j6l1f0,https://s2.adresowa.pl/oi/42/4e/39d38e_47e0_cover-2-pokojowe-mieszkanie-lodz-retkinia-ul-maratonska.jpg
Łódź Bałuty,ul. Łanowa,1,27,312000,11556,Bez pośredników,3 dni temu,15,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lanowa-1-pokoj-i9g6x7,https://s2.adresowa.pl/oi/27/6c/39d388_f2df_cover-1-pokojowe-mieszkanie-lodz-baluty-ul-lanowa.jpg
Łódź,ul. Krzemieniecka,2,37,335000,9054,Oferta biura nieruchomości,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-lodz-ul-krzemieniecka-2-pokojowe-p9z5o2,https://s2.adresowa.pl/oi/15/33/39ae68_d79b_cover-2-pokojowe-mieszkanie-lodz-ul-krzemieniecka.jpg
Łódź Retkinia,al. ks. kard. Stefana Wyszyńskiego,2,31,233000,7516,Oferta biura nieruchomości,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-retkinia-al-ks-kard-stefana-wyszynskiego-2-pokojowe-e4w2q5,https://s2.adresowa.pl/oi/58/40/39a616_a1d2_cover-2-pokojowe-mieszkanie-lodz-retkinia-al-ks-kard-stefana-wyszynskiego.jpg
Łódź Górna,ul. Józefa Ignacego Kraszewskiego,1,29,240000,8276,Bez pośredników,3 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-jozefa-ignacego-kraszewskiego-1-pokoj-s4p1u1,https://s2.adresowa.pl/oi/1f/16/39d2d6_de49_cover-1-pokojowe-mieszkanie-lodz-gorna-ul-jozefa-ignacego-kraszewskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Górna,ul. Łomżyńska,1,28,265000,9619,Bez pośredników,3 dni temu,13,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-lomzynska-1-pokoj-b8c8y1,https://s2.adresowa.pl/oi/37/24/39d168_f88b_cover-1-pokojowe-mieszkanie-lodz-gorna-ul-lomzynska.jpg
Łódź Żabieniec,,3,70,669000,9589,Bez pośredników,3 dni temu,15,https://adresowo.pl/o/mieszkanie-lodz-zabieniec-3-pokojowe-69-m2-o4v2l7,https://s2.adresowa.pl/oi/1b/5f/39d156_db6f_cover-3-pokojowe-mieszkanie-lodz-zabieniec.jpg
Łódź Polesie,ul. Andrzeja Struga,3,96,690000,7188,Oferta biura nieruchomości,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-andrzeja-struga-3-pokojowe-x5p9e6,https://s2.adresowa.pl/oi/6e/4a/39a5be_e337_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-andrzeja-struga.jpg
Łódź,ul. Zielna,2,46,289000,6269,Oferta biura nieruchomości,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-lodz-ul-zielna-2-pokojowe-f5p3e1,https://s2.adresowa.pl/oi/16/65/39a046_bbd3_cover-2-pokojowe-mieszkanie-lodz-ul-zielna.jpg
Łódź Bałuty,ul. Bolesława Limanowskiego,2,37,275000,7392,Bez pośredników,3 dni temu,15,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-boleslawa-limanowskiego-2-pokojowe-h0n1j7,https://s2.adresowa.pl/oi/53/2f/39d144_a256_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-boleslawa-limanowskiego.jpg
Łódź Teofilów,ul. Rojna,1,28,255000,9107,Bez pośredników,3 dni temu,11,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-rojna-1-pokoj-w7e4a5,https://s2.adresowa.pl/oi/29/2d/39cf40_5a74_cover-1-pokojowe-mieszkanie-lodz-teofilow-ul-rojna.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Górna,ul. Strycharska,3,55,486000,8836,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-strycharska-3-pokojowe-g9t0f8,https://s2.adresowa.pl/oi/49/44/39cd2e_3c8d_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-strycharska.jpg
Łódź Chojny,ul. Antoniego Edwarda Odyńca,3,60,465000,7732,Oferta biura nieruchomości,ponad tydzień temu,18,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-antoniego-edwarda-odynca-3-pokojowe-j0e1f8,https://s2.adresowa.pl/oi/11/36/399816_be68_cover-3-pokojowe-mieszkanie-lodz-chojny-ul-antoniego-edwarda-odynca.jpg
Łódź Bałuty,ul. Sukiennicza,3,57,460000,8070,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-sukiennicza-3-pokojowe-z9k2a1,https://s2.adresowa.pl/oi/34/71/3997c6_842d_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-sukiennicza.jpg
Łódź Bałuty,,1,31,260000,8387,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-1-pokoj-31-m2-x5p4i9,https://s2.adresowa.pl/oi/2e/1b/39cc26_720b_cover-1-pokojowe-mieszkanie-lodz-baluty.jpg
Łódź Bałuty,,3,57,462000,8105,Bez pośredników,4 dni temu,20,https://adresowo.pl/o/mieszkanie-lodz-baluty-3-pokojowe-57-m2-w2a0v7,https://s2.adresowa.pl/oi/60/62/39cbde_de64_cover-3-pokojowe-mieszkanie-lodz-baluty.jpg
Łódź Widzew,ul. Rysy,2,45,509900,11331,Bez pośredników,4 dni temu,1,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-rysy-2-pokojowe-b0l5x1,https://s2.adresowa.pl/oi/5e/24/39cb1e_edc1_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-rysy.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź,ul. gen. Józefa Dwernickiego,2,51,434000,8493,Oferta biura nieruchomości,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-ul-gen-jozefa-dwernickiego-2-pokojowe-l7j7d9,https://s2.adresowa.pl/oi/53/6e/3996cc_bb60_cover-2-pokojowe-mieszkanie-lodz-ul-gen-jozefa-dwernickiego.jpg
Łódź,ul. Wierzbowa,2,53,449000,8547,Oferta biura nieruchomości,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-ul-wierzbowa-2-pokojowe-s7p2m2,https://s2.adresowa.pl/oi/71/48/3996c8_7925_cover-2-pokojowe-mieszkanie-lodz-ul-wierzbowa.jpg
Łódź Polesie,ul. Narciarska,3,54,428500,7891,Bez pośredników,4 dni temu,15,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-narciarska-3-pokojowe-f3c5m9,https://s2.adresowa.pl/oi/1d/72/39ca12_5f79_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-narciarska.jpg
Łódź Śródmieście,ul. Jana Kilińskiego,2,41,600000,14634,Bez pośredników,4 dni temu,13,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-jana-kilinskiego-2-pokojowe-e9l8b9,https://s2.adresowa.pl/oi/2f/2b/39c98c_baa6_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-jana-kilinskiego.jpg
Łódź Bałuty,,2,37,260000,7027,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-2-pokojowe-37-m2-q3v0l2,https://s2.adresowa.pl/oi/27/3c/39c946_3d9c_cover-2-pokojowe-mieszkanie-lodz-baluty.jpg
