Lokalizacja,Ulica,Liczba Pokoi,Metraż (m²),Cena Całkowita (zł),Cena za m² (zł),Typ Oferty,Data Dodania,Liczba Zdjęć,Link do Oferty,Link do Zdjęcia
Łódź Bałuty,ul. Adwokacka,3,77,629000,8169,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-adwokacka-3-pokojowe-b4i2d7,https://s2.adresowa.pl/oi/5b/3c/3985fc_a6a6_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-adwokacka.jpg
Łódź Dąbrowa,ul. Łączna,2,43,394000,9167,Oferta biura nieruchomości,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-laczna-2-pokojowe-c3p0j7,https://s2.adresowa.pl/oi/2b/5d/388666_b004_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-laczna.jpg
Łódź Śródmieście,ul. Piotrkowska,3,69,560000,8116,Oferta biura nieruchomości,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-3-pokojowe-s0v9f4,https://s2.adresowa.pl/oi/23/7f/387cea_33ff_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg
Łódź Śródmieście,ul. Jana Kilińskiego,4,83,556800,6708,Bez pośredników,ponad tydzień temu,21,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-jana-kilinskiego-4-pokojowe-n0h6z6,https://s2.adresowa.pl/oi/1d/4c/3982ea_d8ed_cover-4-pokojowe-mieszkanie-lodz-srodmiescie-ul-jana-kilinskiego.jpg
Łódź Widzew,ul. Lęborska,2,47,510000,10750,Bez pośredników,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-leborska-2-pokojowe-k3j0v4,https://s2.adresowa.pl/oi/77/3b/39817c_d0a9_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-leborska.jpg
Łódź Radogoszcz,ul. Nastrojowa,4,73,553500,7582,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-nastrojowa-4-pokojowe-f8m8q0,https://s2.adresowa.pl/oi/29/1f/39813a_a026_cover-4-pokojowe-mieszkanie-lodz-radogoszcz-ul-nastrojowa.jpg
Łódź Dąbrowa,ul. Henryka Rodakowskiego,2,38,299000,7931,Oferta biura nieruchomości,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-henryka-rodakowskiego-2-pokojowe-q3z6h2,https://s2.adresowa.pl/oi/21/1c/386c24_e163_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-henryka-rodakowskiego.jpg
Łódź Retkinia,ul. Przełajowa,2,42,384000,9143,Oferta biura nieruchomości,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-przelajowa-2-pokojowe-i7h2a2,https://s2.adresowa.pl/oi/45/71/386c02_36fb_cover-2-pokojowe-mieszkanie-lodz-retkinia-ul-przelajowa.jpg
Łódź Widzew,ul. Juliana Tuwima,2,33,420000,12727,Bez pośredników,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-juliana-tuwima-2-pokojowe-j9k9t2,https://s2.adresowa.pl/oi/4a/42/398126_8a32_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-juliana-tuwima.jpg
Łódź Górna,ul. Rabindranatha Tagore'a,3,46,434900,9454,Bez pośredników,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-rabindranatha-tagore-a-3-pokojowe-e1z9w4,https://s2.adresowa.pl/oi/4a/1c/397f90_6472_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-rabindranatha-tagore-a.jpg
Łódź Bałuty,ul. Lutomierska,1,41,310000,7617,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lutomierska-1-pokoj-t9f2h0,https://s2.adresowa.pl/oi/2f/3e/397ee6_c09f_cover-1-pokojowe-mieszkanie-lodz-baluty-ul-lutomierska.jpg
Łódź Polesie,al. 1 Maja,1,29,276000,9681,Oferta biura nieruchomości,ponad miesiąc temu,5,https://adresowo.pl/o/mieszkanie-lodz-polesie-al-1-maja-1-pokoj-x3e1k7,https://s2.adresowa.pl/oi/43/71/386362_9f33_cover-1-pokojowe-mieszkanie-lodz-polesie-al-1-maja.jpg
Łódź,ul. dr. Adama Próchnika,1,29,249000,8586,Oferta biura nieruchomości,ponad miesiąc temu,5,https://adresowo.pl/o/mieszkanie-lodz-ul-dr-adama-prochnika-1-pokoj-n5o4e2,https://s2.adresowa.pl/oi/4c/4d/3860ec_aa8e_cover-1-pokojowe-mieszkanie-lodz-ul-dr-adama-prochnika.jpg
Łódź Śródmieście,ul. Rewolucji 1905 r.,1,19,238000,12865,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-rewolucji-1905-r-1-pokoj-n0l2d1,https://s2.adresowa.pl/oi/4d/40/397e70_ecc3_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-ul-rewolucji-1905-r-.jpg
Łódź Górna,ul. Piękna,3,48,350000,7292,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-piekna-3-pokojowe-d0j4b0,https://s2.adresowa.pl/oi/17/79/397d32_7af7_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-piekna.jpg
Łódź Górna,ul. Wincentego Kadłubka,2,42,340000,8095,Bez pośredników,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-wincentego-kadlubka-2-pokojowe-z6j0c2,https://s2.adresowa.pl/oi/2c/3a/397922_6b06_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-wincentego-kadlubka.jpg
Łódź Górna,ul. Ignacego Paderewskiego,2,44,310000,6982,Oferta biura nieruchomości,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-ignacego-paderewskiego-2-pokojowe-x7n2t1,https://s2.adresowa.pl/oi/49/17/385dca_8bb5_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-ignacego-paderewskiego.jpg
Łódź Koziny,ul. Marcina Kasprzaka,3,54,469000,8743,Oferta biura nieruchomości,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-lodz-koziny-ul-marcina-kasprzaka-3-pokojowe-u7f1k4,https://s2.adresowa.pl/oi/49/3a/385798_6594_cover-3-pokojowe-mieszkanie-lodz-koziny-ul-marcina-kasprzaka.jpg
Łódź Górna,ul. Ignacego Paderewskiego,3,55,400000,7273,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-ignacego-paderewskiego-3-pokojowe-i3e8r4,https://s2.adresowa.pl/oi/55/2f/397c80_ee35_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-ignacego-paderewskiego.jpg
Łódź Śródmieście,,2,51,380000,7451,Bez pośredników,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-2-pokojowe-51-m2-z8v9s2,https://s2.adresowa.pl/oi/67/6b/397c9c_bbe7_cover-2-pokojowe-mieszkanie-lodz-srodmiescie.jpg
Łódź Polesie,al. 1 Maja,3,59,330000,5593,Bez pośredników,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-polesie-al-1-maja-3-pokojowe-m5e8o6,https://s2.adresowa.pl/oi/1a/67/397c20_3c1f_cover-3-pokojowe-mieszkanie-lodz-polesie-al-1-maja.jpg
Łódź Ruda Pabianicka,ul. Starorudzka,2,54,535887,9900,Oferta biura nieruchomości,ponad miesiąc temu,5,https://adresowo.pl/o/mieszkanie-lodz-ruda-pabianicka-ul-starorudzka-2-pokojowe-g9p3z4,https://s2.adresowa.pl/oi/3c/54/3852be_be18_cover-2-pokojowe-mieszkanie-lodz-ruda-pabianicka-ul-starorudzka.jpg
Łódź Bałuty,ul. Kolektywna,2,51,316360,6176,Oferta biura nieruchomości,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-kolektywna-2-pokojowe-u9j0i9,https://s2.adresowa.pl/oi/4f/23/385032_710c_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-kolektywna.jpg
Łódź Widzew,,2,43,460000,10824,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-widzew-2-pokojowe-42-m2-h9r3o4,https://s2.adresowa.pl/oi/15/27/397970_56bd_cover-2-pokojowe-mieszkanie-lodz-widzew.jpg
Łódź Śródmieście,ul. Prezydenta Gabriela Narutowicza,2,36,429900,11938,Bez pośredników,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-prezydenta-gabriela-narutowicza-2-pokojowe-z1n8a7,https://s2.adresowa.pl/oi/25/7e/397958_3ba9_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-prezydenta-gabriela-narutowicza.jpg
Łódź Śródmieście,ul. Juliana Tuwima,1,37,433000,11703,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-juliana-tuwima-1-pokoj-e0u6f4,https://s2.adresowa.pl/oi/77/43/39794c_d0fb_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-ul-juliana-tuwima.jpg
Łódź Bałuty,ul. ks. Stanisława Brzóski,3,56,399000,7125,Oferta biura nieruchomości,ponad miesiąc temu,6,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-ks-stanislawa-brzoski-3-pokojowe-p0l7h1,https://s2.adresowa.pl/oi/7f/2d/384512_b408_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-ks-stanislawa-brzoski.jpg
Łódź Widzew,ul. Przędzalniana,3,65,1045000,16077,Oferta biura nieruchomości,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-przedzalniana-3-pokojowe-s8u1i8,https://s2.adresowa.pl/oi/7a/22/384092_3c5f_cover-3-pokojowe-mieszkanie-lodz-widzew-ul-przedzalniana.jpg
Łódź Koziny,,2,39,385000,9872,Bez pośredników,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-lodz-koziny-2-pokojowe-39-m2-r6t4q9,https://s2.adresowa.pl/oi/70/35/397942_5af1_cover-2-pokojowe-mieszkanie-lodz-koziny.jpg
Łódź Widzew,ul. Bedricha Smetany,3,62,529000,8532,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-bedricha-smetany-3-pokojowe-z4m1m5,https://s2.adresowa.pl/oi/4f/18/397882_667d_cover-3-pokojowe-mieszkanie-lodz-widzew-ul-bedricha-smetany.jpg
Łódź Ruda Pabianicka,ul. Rudzka,2,48,690000,14375,Bez pośredników,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-lodz-ruda-pabianicka-ul-rudzka-2-pokojowe-g1p6q0,https://s2.adresowa.pl/oi/20/13/397740_8012_cover-2-pokojowe-mieszkanie-lodz-ruda-pabianicka-ul-rudzka.jpg
Łódź Księży Młyn,ul. Przędzalniana,1,27,185000,6822,Oferta biura nieruchomości,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-lodz-ksiezy-mlyn-ul-przedzalniana-1-pokoj-z4w9p1,https://s2.adresowa.pl/oi/1c/3a/383f66_b097_cover-1-pokojowe-mieszkanie-lodz-ksiezy-mlyn-ul-przedzalniana.jpg
Łódź Zarzew,ul. Łowicka,2,52,335360,6512,Oferta biura nieruchomości,ponad miesiąc temu,21,https://adresowo.pl/o/mieszkanie-lodz-zarzew-ul-lowicka-2-pokojowe-q5y6m5,https://s2.adresowa.pl/oi/61/6e/383cb6_fb14_cover-2-pokojowe-mieszkanie-lodz-zarzew-ul-lowicka.jpg
Łódź Chojny,ul. Mazurska,3,54,476000,8815,Bez pośredników,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-mazurska-3-pokojowe-x5z4w7,https://s2.adresowa.pl/oi/7f/36/3976a2_745d_cover-3-pokojowe-mieszkanie-lodz-chojny-ul-mazurska.jpg
Łódź Górna,ul. Ogniskowa,2,50,450000,9000,Bez pośredników,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-ogniskowa-2-pokojowe-f8t2w6,https://s2.adresowa.pl/oi/55/58/397584_892d_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-ogniskowa.jpg
Łódź Widzew,ul. Sobolowa,2,47,565000,12021,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-sobolowa-2-pokojowe-v9x2l5,https://s2.adresowa.pl/oi/4a/61/3974d4_efb6_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-sobolowa.jpg
Łódź Teofilów,ul. Wici,2,45,309000,6867,Oferta biura nieruchomości,ponad miesiąc temu,3,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-wici-2-pokojowe-n8n7z4,https://s2.adresowa.pl/oi/3a/4d/383810_8f03_cover-2-pokojowe-mieszkanie-lodz-teofilow-ul-wici.jpg
Łódź Bałuty,,2,44,295000,6643,Oferta biura nieruchomości,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-2-pokojowe-44-m2-j0p2j0,https://s2.adresowa.pl/oi/31/17/3836d0_3cd5_cover-2-pokojowe-mieszkanie-lodz-baluty.jpg
Łódź Bałuty,ul. Emilii Plater,2,45,345000,7667,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-emilii-plater-2-pokojowe-f9q8w3,https://s2.adresowa.pl/oi/7a/14/39744c_6899_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-emilii-plater.jpg
Łódź Górna,ul. Juliusza Kossaka,2,37,360000,9730,Bez pośredników,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-juliusza-kossaka-2-pokojowe-n4t2f1,https://s2.adresowa.pl/oi/53/61/3973fa_ec95_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-juliusza-kossaka.jpg
Łódź Retkinia,ul. Olimpijska,3,53,510000,9623,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-olimpijska-3-pokojowe-p8i6g4,https://s2.adresowa.pl/oi/5e/61/3973f2_70e6_cover-3-pokojowe-mieszkanie-lodz-retkinia-ul-olimpijska.jpg
Łódź Bałuty,ul. Drewnowska,2,40,590000,14571,Oferta biura nieruchomości,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-drewnowska-2-pokojowe-d8s6e5,https://s2.adresowa.pl/oi/48/27/3836c4_983a_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-drewnowska.jpg
Łódź Górna,ul. Sanocka,2,47,342360,7287,Oferta biura nieruchomości,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-sanocka-2-pokojowe-f0q3o4,https://s2.adresowa.pl/oi/15/44/382ca4_7d3a_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-sanocka.jpg
Łódź Nowosolna,ul. Pomorska,1,40,560000,14000,Bez pośredników,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-nowosolna-ul-pomorska-1-pokoj-l7g0k5,https://s2.adresowa.pl/oi/35/6f/3972e2_e676_cover-1-pokojowe-mieszkanie-lodz-nowosolna-ul-pomorska.jpg
Łódź Teofilów,,2,47,440000,9452,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-teofilow-2-pokojowe-46-m2-o0m5r0,https://s2.adresowa.pl/oi/7d/1c/397180_c118_cover-2-pokojowe-mieszkanie-lodz-teofilow.jpg
Łódź Bałuty,,2,46,430000,9328,Bez pośredników,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-lodz-baluty-2-pokojowe-46-m2-w7n4g2,https://s2.adresowa.pl/oi/14/77/397100_8af9_cover-2-pokojowe-mieszkanie-lodz-baluty.jpg
Łódź Widzew,ul. Juliusza Jurczyńskiego,3,62,529360,8575,Oferta biura nieruchomości,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-juliusza-jurczynskiego-3-pokojowe-u3c1j5,https://s2.adresowa.pl/oi/68/7d/382116_50f3_cover-3-pokojowe-mieszkanie-lodz-widzew-ul-juliusza-jurczynskiego.jpg
Łódź Polesie,ul. Maratońska,3,57,520360,9176,Oferta biura nieruchomości,ponad miesiąc temu,21,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-maratonska-3-pokojowe-c8q9p3,https://s2.adresowa.pl/oi/3f/18/38210e_3527_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-maratonska.jpg
Łódź Śródmieście,,2,52,478400,9147,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-2-pokojowe-52-m2-l0i0f1,https://s2.adresowa.pl/oi/1b/1b/3970fc_d65a_cover-2-pokojowe-mieszkanie-lodz-srodmiescie.jpg
Łódź Bałuty,ul. Pasieczna,3,54,480000,8889,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-pasieczna-3-pokojowe-z5r7j2,https://s2.adresowa.pl/oi/39/16/396f90_f898_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-pasieczna.jpg
Łódź Teofilów,,3,57,450000,7895,Bez pośredników,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-teofilow-3-pokojowe-57-m2-f6r1f4,https://s2.adresowa.pl/oi/74/3a/396f78_383d_cover-3-pokojowe-mieszkanie-lodz-teofilow.jpg
Łódź Śródmieście,ul. Piotrkowska,2,43,650360,15188,Oferta biura nieruchomości,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-2-pokojowe-t3i5l0,https://s2.adresowa.pl/oi/75/23/3820fc_55a2_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg
Łódź Widzew,ul. Józefa Elsnera,1,35,339360,9603,Oferta biura nieruchomości,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-jozefa-elsnera-1-pokoj-e2o4u7,https://s2.adresowa.pl/oi/48/72/3820e8_27b8_cover-1-pokojowe-mieszkanie-lodz-widzew-ul-jozefa-elsnera.jpg
Łódź Polesie,al. Włókniarzy,1,37,240825,6500,Bez pośredników,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-lodz-polesie-al-wlokniarzy-1-pokoj-y8n4d5,https://s2.adresowa.pl/oi/4f/2d/396ef2_722b_cover-1-pokojowe-mieszkanie-lodz-polesie-al-wlokniarzy.jpg
Łódź Śródmieście,ul. dr. Stefana Kopcińskiego,2,42,449000,10580,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-dr-stefana-kopcinskiego-2-pokojowe-e2x2z3,https://s2.adresowa.pl/oi/6d/21/396edc_b879_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-dr-stefana-kopcinskiego.jpg
Łódź Chojny,,2,51,425000,8411,Bez pośredników,ponad tydzień temu,36,https://adresowo.pl/o/mieszkanie-lodz-chojny-2-pokojowe-50-m2-m4i9d6,https://s2.adresowa.pl/oi/2e/10/396ece_d253_cover-2-pokojowe-mieszkanie-lodz-chojny.jpg
Łódź,al. marsz. Edwarda Śmigłego-Rydza,2,45,429360,9478,Oferta biura nieruchomości,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-lodz-al-marsz-edwarda-smiglego-rydza-2-pokojowe-b8i9k8,https://s2.adresowa.pl/oi/14/3e/3820e4_3e32_cover-2-pokojowe-mieszkanie-lodz-al-marsz-edwarda-smiglego-rydza.jpg
Łódź Zarzew,ul. gen. Stefana Grota-Roweckiego,2,36,309360,8536,Oferta biura nieruchomości,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-zarzew-ul-gen-stefana-grota-roweckiego-2-pokojowe-s4b7m2,https://s2.adresowa.pl/oi/18/6a/3820de_ae26_cover-2-pokojowe-mieszkanie-lodz-zarzew-ul-gen-stefana-grota-roweckiego.jpg
Łódź Radogoszcz,,2,45,485000,10899,Bez pośredników,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-2-pokojowe-44-m2-q5p4z5,https://s2.adresowa.pl/oi/4b/2e/396eae_f02f_cover-2-pokojowe-mieszkanie-lodz-radogoszcz.jpg
Łódź Górna,ul. Stanisława Brzozowskiego,2,45,320000,7080,Bez pośredników,ponad tydzień temu,26,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-stanislawa-brzozowskiego-2-pokojowe-b3t2w1,https://s2.adresowa.pl/oi/4f/1b/396bbe_7381_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-stanislawa-brzozowskiego.jpg
Łódź Karolew,ul. Walerego Wróblewskiego,1,35,254000,7257,Bez pośredników,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-lodz-karolew-ul-walerego-wroblewskiego-1-pokoj-f1r6q0,https://s2.adresowa.pl/oi/4c/61/396e32_ef76_cover-1-pokojowe-mieszkanie-lodz-karolew-ul-walerego-wroblewskiego.jpg
Łódź Chojny,ul. Kurczaki,2,51,375360,7356,Oferta biura nieruchomości,ponad miesiąc temu,28,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-kurczaki-2-pokojowe-e4w1o6,https://s2.adresowa.pl/oi/5a/76/3820c6_f5f6_cover-2-pokojowe-mieszkanie-lodz-chojny-ul-kurczaki.jpg
Łódź Julianów,ul. gen. Józefa Bema,3,90,649360,7223,Oferta biura nieruchomości,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-julianow-ul-gen-jozefa-bema-3-pokojowe-g9j2i7,https://s2.adresowa.pl/oi/3a/2f/3820be_a6bf_cover-3-pokojowe-mieszkanie-lodz-julianow-ul-gen-jozefa-bema.jpg
Łódź Bałuty,ul. Franciszkańska,3,57,484000,8491,Bez pośredników,ponad tydzień temu,22,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-franciszkanska-3-pokojowe-n0a5w1,https://s2.adresowa.pl/oi/43/25/39649c_442d_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-franciszkanska.jpg
Łódź Śródmieście,,2,49,399000,8193,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-2-pokojowe-48-m2-b4g7w9,https://s2.adresowa.pl/oi/10/1d/396d00_b284_cover-2-pokojowe-mieszkanie-lodz-srodmiescie.jpg
Łódź Dąbrowa,pl. gen. Henryka Dąbrowskiego,2,36,260000,7174,Bez pośredników,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-pl-gen-henryka-dabrowskiego-2-pokojowe-u9k6b3,https://s2.adresowa.pl/oi/53/4a/396acc_d80c_cover-2-pokojowe-mieszkanie-lodz-dabrowa-pl-gen-henryka-dabrowskiego.jpg
Łódź Romanów,ul. Romanowska,3,48,389360,8180,Oferta biura nieruchomości,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-lodz-romanow-ul-romanowska-3-pokojowe-t4e5j9,https://s2.adresowa.pl/oi/39/5f/3820c0_7654_cover-3-pokojowe-mieszkanie-lodz-romanow-ul-romanowska.jpg
Łódź Górna,ul. Gabrieli Zapolskiej,2,43,325360,7531,Oferta biura nieruchomości,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-gabrieli-zapolskiej-2-pokojowe-q8j2i6,https://s2.adresowa.pl/oi/5e/5d/38208a_64c3_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-gabrieli-zapolskiej.jpg
Łódź Dąbrowa,ul. Józefa Ignacego Kraszewskiego,3,52,353000,6788,Bez pośredników,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-jozefa-ignacego-kraszewskiego-3-pokojowe-o0n0t7,https://s2.adresowa.pl/oi/4c/69/396a6c_7956_cover-3-pokojowe-mieszkanie-lodz-dabrowa-ul-jozefa-ignacego-kraszewskiego.jpg
Łódź Dąbrowa,ul. Władysława Umińskiego,2,38,320000,8421,Bez pośredników,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-wladyslawa-uminskiego-2-pokojowe-x3o9h4,https://s2.adresowa.pl/oi/53/48/3969fa_3610_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-wladyslawa-uminskiego.jpg
Łódź,,1,26,241800,9300,Bez pośredników,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-1-pokoj-26-m2-r3o7f4,https://s2.adresowa.pl/oi/41/37/396918_f16d_cover-1-pokojowe-mieszkanie-lodz.jpg
Łódź Górna,ul. Smocza,2,53,364000,6860,Oferta biura nieruchomości,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-smocza-2-pokojowe-m9m8c3,https://s2.adresowa.pl/oi/24/7b/381dba_7a13_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-smocza.jpg
Łódź Żubardź,ul. Lutomierska,2,46,294000,6377,Oferta biura nieruchomości,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-zubardz-ul-lutomierska-2-pokojowe-g8e1n7,https://s2.adresowa.pl/oi/7f/73/380f8e_2f28_cover-2-pokojowe-mieszkanie-lodz-zubardz-ul-lutomierska.jpg
Łódź Śródmieście,ul. Dowborczyków,3,109,660000,6055,Bez pośredników,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-dowborczykow-3-pokojowe-g7i0m2,https://s2.adresowa.pl/oi/2d/4f/396902_b296_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-dowborczykow.jpg
Łódź Dąbrowa,ul. Podgórna,3,52,440000,8426,Bez pośredników,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-podgorna-3-pokojowe-w2f3n0,https://s2.adresowa.pl/oi/56/2d/3968b4_df8a_cover-3-pokojowe-mieszkanie-lodz-dabrowa-ul-podgorna.jpg
Łódź Teofilów,ul. Lniana,1,26,230000,8846,Bez pośredników,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-lniana-1-pokoj-k7f1p2,https://s2.adresowa.pl/oi/3c/18/3968b8_48cf_cover-1-pokojowe-mieszkanie-lodz-teofilow-ul-lniana.jpg
Łódź Śródmieście,al. Tadeusza Kościuszki,1,33,315000,9577,Oferta biura nieruchomości,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-al-tadeusza-kosciuszki-1-pokoj-p8n1x5,https://s2.adresowa.pl/oi/65/15/380f32_3c32_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-al-tadeusza-kosciuszki.jpg
Łódź Bałuty,ul. Stefana Jaracza,3,55,349000,6385,Oferta biura nieruchomości,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-stefana-jaracza-3-pokojowe-x7m6s4,https://s2.adresowa.pl/oi/2c/56/380d6c_b713_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-stefana-jaracza.jpg
Łódź Górna,Bajeczna,5,115,1300000,11268,Bez pośredników,wczoraj,17,https://adresowo.pl/o/mieszkanie-lodz-gorna-bajeczna-5-pokojowe-m0b3i0,https://s2.adresowa.pl/oi/38/5f/39d7d6_6457_cover-5-pokojowe-mieszkanie-lodz-gorna-bajeczna.jpg
